tsne_1,tsne_2,label
0.79520524,27.100985,G
0.45584297,26.114996,G
0.41156402,25.689598,G
2.6370776,26.94059,G
2.1624703,27.912256,G
2.6707277,24.314224,G
0.73002934,27.215237,G
0.9819805,27.297928,G
0.31638128,27.103373,G
2.488808,24.235731,G
1.1242845,24.043407,G
2.171213,25.019705,G
0.8005583,23.476324,G
1.2691041,25.561106,G
2.3466322,25.049955,G
0.8289523,23.484587,G
1.5761678,23.778687,G
-0.173,25.83765,G
1.9502288,27.804314,G
3.029458,26.931295,G
2.3780253,24.8637,G
1.3196428,24.49367,G
1.6938562,25.292706,G
2.311405,27.899067,G
3.3598702,26.730854,G
3.1428113,26.653786,G
3.1401005,24.775469,G
1.7797976,24.811245,G
3.2120602,26.423046,G
3.0748506,27.47009,G
0.74935925,26.021385,G
0.2119076,24.942068,G
1.460427,25.02413,G
1.789742,25.18771,G
0.5768318,25.990124,G
1.174075,25.565077,G
0.8901489,24.435265,G
3.1709642,27.599136,G
2.0450623,24.206358,G
1.7563014,24.633268,G
-0.25785586,24.869667,G
-0.3731244,24.687746,G
8.020069,-30.87124,H
8.559255,-30.47898,H
10.733727,-28.265072,H
10.263728,-29.924534,H
7.862619,-30.727747,H
9.566109,-29.404528,H
10.591758,-28.387339,H
10.371941,-29.583355,H
6.959703,-31.034693,H
10.646867,-28.30009,H
9.42801,-30.031748,H
9.2444105,-29.354902,H
10.407696,-27.607208,H
9.268682,-28.579365,H
7.5201826,-30.35414,H
7.60454,-30.31627,H
7.947467,-29.571451,H
9.425672,-28.323763,H
9.135509,-29.15969,H
10.087158,-27.580952,H
6.723978,-30.175468,H
9.4626665,-28.211472,H
7.9710407,-29.552341,H
8.047693,-29.123905,H
9.788158,-27.386887,H
7.1026654,-30.278328,H
9.145769,-29.264408,H
9.6752825,-27.399275,H
6.8155293,-29.618078,H
9.259454,-27.396418,H
7.5097513,-29.051956,H
8.717244,-27.717026,H
6.9438257,-22.982563,H
6.4663315,-29.061783,H
9.557662,-25.739452,H
6.5293207,-23.321886,H
5.36195,-30.082891,H
5.8575664,-29.352896,H
7.9679,-26.040758,H
7.5753474,-24.536928,H
5.372812,-29.850435,H
6.6792226,-28.600283,H
9.525762,-25.819904,H
7.006175,-23.08254,H
6.139635,-28.34841,H
5.8843946,-28.503017,H
7.3735023,-26.494543,H
8.970988,-25.870045,H
5.401965,-29.67327,H
5.572713,-29.202513,H
5.9335766,-27.802519,H
4.0811667,-26.28019,H
8.763724,-25.728777,H
5.5369816,-28.473091,H
6.0466304,-27.36317,H
4.0901675,-26.241823,H
6.4312005,-24.310135,H
4.1598396,-29.058409,H
6.316991,-23.216835,H
7.6791215,-25.805367,H
7.0947013,-23.152424,H
6.0310197,-24.443806,H
4.704209,-25.637316,H
7.818405,-23.344666,H
5.9670763,-27.293243,H
9.034878,-25.29423,H
5.097457,-29.140001,H
8.759621,-25.053139,H
5.047362,-29.559126,H
8.747906,-25.50149,H
5.934173,-26.694086,H
8.002221,-25.743767,H
6.98137,-23.248617,H
6.1408834,-26.365553,H
9.279156,-25.28459,H
6.841995,-23.17097,H
5.047256,-29.600044,H
5.5434833,-28.169228,H
5.953735,-26.597263,H
8.197504,-25.461008,H
6.657588,-23.605097,H
