tsne_1,tsne_2,tsne_3,label
-0.34954777,-5.2183757,-15.505862,H
-1.2801058,-6.0791407,-15.83504,H
-0.037243284,-6.5004597,-15.312848,H
-1.751119,-6.966732,-15.813438,H
-0.28109396,-4.033172,-15.542461,H
-1.2249936,-6.4113593,-15.632797,H
-0.7428829,-5.15944,-15.622015,H
-0.52366036,-5.4745445,-15.199611,H
-1.8840796,-6.7572064,-15.57033,H
-0.49789405,-4.232759,-15.776149,H
0.18845128,-6.6521974,-15.193238,H
-1.9366227,-6.5268955,-15.61981,H
0.08538839,-4.3521647,-14.962798,H
-1.5198035,-7.153787,-14.839123,H
-0.48346326,-5.0993013,-14.877464,H
-1.1506704,-7.134,-14.532623,H
-2.2815983,-7.0676847,-12.224002,H
0.17181025,-4.1346536,-14.286645,H
-3.223308,-6.7402554,-15.079566,H
-1.8276848,-6.631215,-12.441343,H
-0.7481096,-3.0000472,-15.109313,H
-0.9942009,-3.7789807,-14.767816,H
-3.617343,-5.242778,-15.345178,H
-1.8078321,-6.590585,-13.486827,H
-0.81847817,-3.106011,-14.939395,H
0.15938888,-4.380292,-14.048122,H
-3.1729264,-6.685891,-15.126395,H
-2.3679688,-7.021,-12.305197,H
-1.1698743,-4.2537947,-14.224961,H
-0.6933918,-4.1345553,-13.768061,H
-3.3337672,-4.509448,-15.351803,H
-3.012493,-6.33324,-14.863881,H
-0.77531666,-3.184056,-14.766223,H
-0.8210003,-3.556214,-14.416898,H
-1.5775542,-4.1352224,-14.008716,H
-3.5062888,-3.4579217,-14.06711,H
-3.2185433,-6.125309,-14.823268,H
-0.66522413,-3.8636086,-13.5298605,H
-1.6099968,-4.549842,-13.511182,H
-3.5377965,-3.4946811,-14.065567,H
-2.8711338,-5.8485627,-12.549703,H
-1.8017312,-2.569513,-14.542699,H
-1.8690151,-6.4852996,-12.141863,H
-4.058848,-5.22657,-15.559553,H
-2.517594,-6.9876447,-12.357984,H
-2.5271935,-5.4472313,-12.384577,H
-3.820265,-4.1604986,-13.684713,H
-2.913667,-7.228163,-12.977474,H
-1.6030172,-4.5274367,-13.33866,H
-3.5314267,-6.3753724,-14.577467,H
-1.278405,-3.2085154,-14.410118,H
-3.426472,-6.189709,-14.146445,H
-1.3938001,-3.1730995,-14.812266,H
-3.7052646,-6.029468,-14.881442,H
-2.2910964,-4.410045,-13.680053,H
-3.68326,-5.419385,-15.0531225,H
-2.5058436,-6.8438525,-12.348167,H
-2.5054982,-4.707936,-13.594558,H
-3.582585,-6.582415,-14.692783,H
-2.396715,-6.808856,-12.2263775,H
-0.95894456,-2.9578788,-14.611684,H
-0.86498404,-4.002781,-13.365055,H
-2.3133903,-4.5275803,-13.530735,H
-3.6449764,-5.5955215,-14.565078,H
-2.12981,-6.412824,-12.48008,H
-3.4140697,-3.769304,-13.141802,H
-3.3089805,-6.848861,-14.081441,H
-0.8221166,-3.8990612,-13.438403,H
-3.0434287,-3.434157,-13.712261,H
-3.8594215,-4.4692106,-13.795151,H
-3.0788405,-5.9536996,-12.759523,H
-2.6097944,-5.5574965,-12.378609,H
-0.5894359,-3.653778,-13.342151,H
-3.402952,-3.7298038,-13.168513,H
-3.4787269,-3.3347588,-13.826349,H
-3.6485627,-5.540874,-14.69023,H
-2.5525935,-5.571151,-12.381274,H
-3.9996212,-6.236051,-14.820772,H
-2.5013354,-3.017232,-14.039674,H
-3.532467,-3.8226619,-13.212119,H
-1.786006,-6.294137,-12.08978,H
-3.1047275,-3.3651628,-13.249218,H
-3.5387807,-6.485123,-14.416958,H
