tsne_1,tsne_2,label
-4.7417545,29.409374,C
-2.6841192,27.093355,C
-2.0676403,26.899847,C
-1.6234057,24.791435,C
-2.4447005,24.367367,C
0.9619525,29.133896,C
-0.15004997,25.015934,C
-0.20948319,28.96185,C
-2.3478034,26.429636,C
-4.4956946,30.245583,C
-3.3788993,27.117216,C
-2.9168587,26.294857,C
-3.8242967,30.154793,C
-2.7250056,30.554827,C
-1.0541877,30.870785,C
-2.614295,27.382683,C
-2.2862322,26.463436,C
-1.0447165,26.830475,C
-2.4035125,28.249895,C
1.9772645,28.833384,C
2.222464,27.672056,C
2.3418138,27.674017,C
-0.60335356,27.04623,C
-2.7413378,26.81884,C
-3.7553687,29.594337,C
-4.6571875,28.770945,C
-0.6715686,30.781475,C
-5.0865116,28.999796,C
-4.235725,29.455297,C
0.24244848,29.613968,C
-0.7698515,27.193825,C
-2.2769268,24.353376,C
-0.4783681,25.839481,C
1.742842,26.86011,C
2.3580027,27.674828,C
-1.8657184,28.262445,C
-11.910188,3.5590675,D
-13.796475,6.6147566,D
-15.085107,5.102191,D
-16.321735,2.8031611,D
-12.512906,3.325341,D
-14.030262,6.2081504,D
-15.494364,4.59884,D
-16.021511,3.2220314,D
-12.226256,3.7522824,D
-12.951155,3.1134222,D
-14.85606,5.3312335,D
-12.023881,4.981533,D
-12.507644,3.3472443,D
-14.3600445,6.1131983,D
-15.777466,4.7549872,D
-16.267126,2.5104873,D
-14.231138,6.066618,D
-16.158781,2.2570322,D
-15.870579,3.7805688,D
-12.093102,3.7045817,D
-13.918219,6.7325993,D
-15.617109,2.6237447,D
-13.812686,5.880455,D
-11.910026,3.714784,D
-14.996727,5.508496,D
-16.142706,2.5070357,D
-14.408712,6.5076375,D
-15.50094,4.155066,D
-11.829776,3.851664,D
-14.032285,6.542465,D
-14.759862,5.6859493,D
-16.087915,4.2753525,D
-15.993816,3.41911,D
-12.139434,3.7095833,D
-13.792259,6.54005,D
-14.581955,5.531137,D
-15.693427,4.7649894,D
-12.013949,4.0604134,D
-13.06207,6.890523,D
-14.377544,6.1372504,D
-15.92555,3.5144653,D
-12.233021,6.732972,D
-11.78502,3.4918127,D
-15.737311,2.837539,D
-15.103846,4.928458,D
-15.416346,2.2146494,D
-12.440935,2.8489785,D
-13.878016,6.003095,D
-15.885219,3.0229647,D
-12.25271,3.0981808,D
-15.00773,4.8131046,D
-16.263805,2.773695,D
-12.23394,6.7631016,D
-14.562279,4.638704,D
-11.790877,3.7245371,D
-12.395294,5.4249763,D
-12.185412,6.803872,D
-15.2504835,3.604972,D
-12.439425,6.4579706,D
-15.476671,2.302231,D
-13.840155,6.485035,D
-14.750009,4.7987685,D
-12.1958475,6.4575872,D
-14.965647,4.040285,D
-12.333972,6.683751,D
-14.560477,5.2830873,D
54.92292,1.4470909,E
50.1433,0.39129752,E
41.247776,4.642046,E
50.595875,5.4866257,E
53.517933,3.0221245,E
59.65106,-5.1949277,E
41.229122,4.520969,E
51.400158,5.1872797,E
58.04675,-4.021236,E
48.954075,1.109841,E
41.483727,4.8203125,E
42.77336,4.336724,E
47.6052,5.229534,E
52.834187,3.8446434,E
59.886425,-5.1777205,E
39.900574,5.0778584,E
49.15165,5.3696027,E
50.66684,5.4414515,E
59.255604,-4.829676,E
40.89393,4.5611424,E
53.041447,3.5860481,E
59.93944,-5.0077105,E
39.875187,5.0980854,E
59.368473,-4.9117856,E
40.101097,4.668503,E
51.947968,4.738418,E
50.941895,0.3430087,E
47.600163,5.2227077,E
58.309,-4.26454,E
50.714687,0.38053542,E
49.942657,5.5057487,E
58.081562,-3.9878247,E
40.369263,4.8525867,E
50.05312,5.462229,E
58.48869,-4.435583,E
40.21062,4.967789,E
50.671417,5.491996,E
58.07643,-4.032663,E
40.70874,4.7636094,E
49.61647,5.437164,E
59.986935,-4.790726,E
42.29092,4.3688087,E
52.657066,4.077702,E
59.972713,-5.216838,E
42.671413,4.1689487,E
53.224873,3.308523,E
59.86001,-4.79567,E
51.202225,0.16276465,E
59.873127,-5.2119513,E
49.599415,0.6876204,E
42.59475,4.3790703,E
54.90208,1.3401265,E
51.416214,0.18775928,E
49.01244,5.3939843,E
59.362255,-4.973444,E
